63,"""정의당은 그 '정의'라는 이름이 어울리지 않는다!코드가 비슷한 집권당의 권력 2중대로 전락하면서 국개의원 몇명 더 얻으려고 그들과 야합하며 공천 단일화하고,그것도 모자라 복잡한 산식의 선거법 개정을 통해 확실하게 권력의 시녀로 전락하려는 그게 정의인가!국민들을 소나 돼지로 인식하고 산식은 몰라도 된다며 국민을 무시하는 것이 정의인가!평화를 얘기 하면서 정작 북 주민들의 인권과 자유에 대해서는 한마디 말도 못하고 북의 눈치보는게 정의인가!차라리 더터진당과 합하고 정정당당하게 당내 경선하여 국민의 심판을 받아라!오히려 그게 더 정의다!"""
64,"""다 꺼진 촛불타령 그만해라~  촛불은 박근혜를 징계한 것이지 니들을 지지한건 아니다.  정권 잡아봐야 똑같은 것들이구만~  촛불타령 웃기시네"""
65,"""심상정이 문제다 연동형비례대표제하면 국민이 안뽑아도 자동으로 의석수가 가니 기고만장해서 계산법을 국민은 몰라도 된다는 말을 하고 심상정만 조용하면 해결됨 최하임금도 아직도 만원안한다고 불만인 분들임 정의당은 외국인을 위한 당임?"""
66,"""정의당은 정신 못 차리고 있네. 이런 당이 무슨 자유민주주의 정신에 맞냐! 대한민국은 자유시장경제 체제 와  헌법정신에 맞게 운영되는 국회가 되어야한다. 소수야당(정의당)이  여당인줄 착각하고 설처되는지.  국민들은 납득이 가지 않는다."""
67,"""심상정&amp;이정미 내년에 없어졌으면 좋겠다~"""
68,"""국민의 직접선출권을 제한하고 , 정당이 지명하는  선거법  개정은,  개혁이 아니라 개악이다 , 국민이 저항해야"""
69,"""새빨간 거짓말로 국민현홋하는 심상정, 아니 교삽딘체도 없는당이 마치 촛불혁명이 지들이 한것처럼 입으로만 나불대고\n그지지율을 정의당으로 돌릴거라고? 한심허고 무능한 입놀림 어느국민이 민주국가에서 사화주의를 지지하나, 그냔 지네들끼리 북치고 장구치고노는거지,역대 정의당이 교섭단체 근거리리도 간적이 있었던가,심상정 이제 더이상 쓸데없는짓으로\n국민들 속이고 살라고 바둥거리지말고 대한만국 민주국가에서 당당히 민주주의를 위해 일하겠다고 선포하라, 더이상 사회주의, 공산주의에 기웃거리지 않겠다고, 이제는 국민들이 너무똑똑해 니들의 사탕발림에"""
70,"""정의당 말만버지르하지 자기들 집단 기득권만 생각하는 것들 갈수록 싫다"""
71,"""의석 겨우 6석 짜리 정당이 입 만 살아가지고ᆢ"""
72,"""민주당 의 실체는, 안면철판깔고 뒷통수치며 위선과  거짓으로 국민을 기만하는 정말 뻔뻔한  종북정당 으로 대한민국 안보 경제 외교를 말아먹는 사라져야할 정당임"""
73,"""좌빨들 몰아내야.더불당 해체하라.정권교체"""
74,"""정의당은 야당이면 야당답게 활동해라. 여당 2중대 노릇이나 하고 앉았는 한심한 놈들ㅋㅋㅋ"""
75,"""아이고...심상정이...\n꼴좋구만..  \n뱁새가 황새따라 갈려다가..\n가랭이 찢어졌구나.. \n심씨 아줌마 2020년 총선 이후로\n안 봤으면 좋겠다...\n가정에 집중하세요"""
76,"""한국당이. 당한걸 정의당도 당해보니 어안이 벙벙하지.  자기들이 한짓은 모르고. 자기들이 당해보니. 한국당이한말을. 정의당이 똑가치하네. \n솔직히. 국회가 멈춘건 정의당 의탓도있다는걸 아시고. 제1야당을. 조롱하고 웃긴건 비난받을 짓이었슴  민주당이 야당으로서의 역활을 저버닌채. 집권여당의 2중대 역활을 한건 사실이잔음"""
77,"""정의당 반발? 여당행세하면서 또 뭐 얻어먹을까 궁리하고 있겠지요 ~"""
78,"""과연 정의당이 국민을 위해서 한게 뭐가있을까요?\n특별히 생각나는게없네요.\n자신들의 이익추구에 \n미쳐있는 정당을 누가 지지할까요!"""
79,"""심상정아 몽니를 부릴걸 부려라 6석밖에 않되는 미니\n졸당이  정계특위장을 맡는다는건 어불성설이다 그리고\n너는 자격도없는 여자아니냐 내년총선에서 반드시 없어질\n당이니 두고 보기라"""
80,"""ㅋㅋㅋㅋㅋ전세계가 극찬하는 성과인데 네일베 악플충들만 쑈라고 정신승리중"""
