,0
29,"""이놈이 적폐 당사자로구나........  온갖 더러운짓을 다 하면서   국민 선동해서 죽창들라고 하고......... 지는 수십억짜리 집에서 권력으로 돈 끌어 당기며  돈놀이 하면서 .........사케 한잔 마시며  국민들 편가르고 죽창 들고 싸우는거 감상 했구만.......  암~   쌈구경이 젤로 재미있지...."""
30,"""조국 쓰레기 냄새 진동한다 역겹다\n역대최악이다"""
31,"""지인이 추천한다고 전재산 보다 많은 돈을 투자 한다고. 국민을 바보로아나.  권력으로 확실한 정보를 취득해서 100% 확실한 이익 난다는 정보를 취득해서 몰빵한 투자지."""
32,"""사모펀드를 조금이라도 아는 사람은 짬짜미라는 걸 단번에 안다. 이제는 불쌍하기까지하다. 이것도 뭉개려 하겟지. 법무장관 청문회전에 정신감정 같은것도 필요해 보인다. 법무장관이 되서 사법개혁 한다고? 길가는 시민 아무나 사켜더 조국보단 적합할것 같다."""
33,"""장관 지명 철회하라, 국민을 개돼지 취급하냐!"""
34,"""야 이 개만도 못한 인간아 니가 사람이냐 사람탈을 쓴 주사파 짐승 놈"""
35,"""아내 지인 추천으로 전재산이 넘는 돈을 투자했다? 정상입니까?"""
36,"""왜이리 하나같이 이쪽놈들은 죄책감 하나 없고 당당하며 철판일까  보면 창피함도 없어 나라 망해가는 소리 들린다..."""
37,"""불법아닌데 왜지랄이냐고? 진짜 대가리터진티낼래? 저회사가 어떤회사인지는 알아보고 댓글다는거냐? 와진짜 대깨문이 왜대깨문인지 다시한번 깨우치게된다오늘 ㅋㅋㅋㅋㅋㅋㅋㅋ"""
38,"""20대의 청년 좊국은 뜨거운 심장을 가졌으니 사노맹 사건은 부끄럽지 않다. // 50대의 중년 좊국은 뜨거운 탐욕을 가졌으니 사모펀드 가입은 부끄럽지 않다. // ㅋㅋㅋ 서울대 동문과 국민들이 부끄럽다 이 좊같은 새끼 야 ㅋㅋㅋ"""
39,"""2016년 설립 1개월만에 중국 태양광 회사에게 6천억을 투자받은 듣보잡 회사입니다. 문재인 정권 되면서 태양광 예산을 수십조 쏟아부었는데 대부분의 수익은 중국 태양광 회사들이 얻었다고 하더라구요. 그런 회사에 정부 요직이 10억을 맡겼다니 이거 뭔가 이상하지 않습니까?"""
40,"""지인 추천으로 74억을 투자함?전 재산보다 많은데? ㅋㅋㅋ 말 같은 소릴 해야지 ㅋㅋㅋ 출국정지! ㅋㅋㅋ"""
41,"""상식적으로 생각해보자. 니들 전재산 보다 많은돈을 알기 어려운 곳에 배팅할수 있냐? 그에 대한 답은 니들이 알고있을거다"""
42,"""지인이 누군지는 모르겠지만 지인 추천 듣고 수십억 투자하는 머저리한테 꼭 법무부 맡겨야 함??"""
43,"""소형차 타고 다니며 서민코스프레 하면서 돈욕심은 더럽게 부리네 감투욕심 돈욕심 ㅅㅂ 욕심이 목끝까지 차오른 가식적인 돼지색휘"""
44,"""중국태야광회사 6000억투자  조국과 문제인 우리 나라에 중국 태양광 전국에 싹깔음  반미 반일 대신 친중으로 나감   말그대로 조국 이색이는 감옥 가는게 맞음"""
45,"""이건 막아줄수없다. 왜냐면 초위험자산에 내 전재산을 투자하는건 도박꾼이 아니라면, 확실한 내부정보나 탈세목적이거든"""
